label,Infant Mortality Rate
2021,3.2600000000000002
2020,3.35
2019,3.45
2018,3.5600000000000005
2017,3.6700000000000004
2016,3.79
2015,3.9200000000000004
2014,4.0600000000000005
2013,4.220000000000001
2012,4.38
2011,4.5600000000000005
2010,4.74
2009,4.920000000000001
2008,5.1000000000000005
2007,5.25
2006,5.38
2005,5.5200000000000005
2004,5.66
2003,5.82
2002,6.010000000000001
2001,6.23
2000,6.46
1999,6.670000000000001
1998,6.870000000000001
1997,7.040000000000001
1996,7.170000000000001
1995,7.2700000000000005
1994,7.359999999999999
1993,7.45
1992,7.58
1991,7.76
1990,8
1989,8.28
1988,8.590000000000002
1987,8.92
1986,9.22
1985,9.5
1984,9.72
1983,9.88
1982,9.990000000000002
1981,10.06
1980,10.14
1979,10.26
1978,10.420000000000002
1977,10.64
1976,10.9
1975,11.190000000000001
1974,11.450000000000001
1973,11.68
1972,11.86
1971,11.98
1970,12.05
1969,12.07
1968,12.07
1967,12.05
1966,12.030000000000001
1965,12.030000000000001
1964,12.05
1963,12.090000000000002
1962,12.15
1961,12.240000000000002
1960,12.36
