label,Infant Mortality Rate
2021,7.83
2020,8.05
2019,8.28
2018,8.520000000000001
2017,8.76
2016,9.01
2015,9.55
2014,9.600000000000001
2013,9.8
2012,10.100000000000001
2011,10.420000000000002
2010,10.76
2009,11.100000000000001
2008,11.450000000000001
2007,11.8
2006,12.13
2005,12.46
2004,12.76
2003,13.06
2002,13.340000000000002
2001,13.61
2000,13.86
1999,14.100000000000001
1998,14.330000000000002
1997,14.55
1996,14.75
1995,14.930000000000001
1994,15.07
1993,15.200000000000001
1992,15.3
1991,15.39
1990,15.480000000000002
1989,15.56
1988,15.66
1987,15.76
1986,15.87
1985,15.980000000000002
1984,16.12
1983,16.25
1982,16.39
1981,16.56
1980,16.72
1979,16.900000000000002
1978,17.080000000000002
1977,17.290000000000003
1976,17.5
1975,17.72
1974,17.95
1973,18.2
1972,18.46
1971,18.72
1970,18.990000000000002
1969,19.27
1968,19.560000000000002
1967,19.87
1966,20.17
1965,20.47
1964,20.790000000000003
1963,21.11
1962,21.430000000000003
1961,21.730000000000004
1960,22.040000000000003
