label,Infant Mortality Rate
2021,4.34
2020,4.45
2019,4.5600000000000005
2018,4.68
2017,4.82
2016,4.95
2015,5.09
2014,5.23
2013,5.38
2012,5.53
2011,5.68
2010,5.83
2009,5.99
2008,6.15
2007,6.300000000000001
2006,6.46
2005,6.63
2004,6.81
2003,6.990000000000001
2002,7.18
2001,7.38
2000,7.57
1999,7.7700000000000005
1998,7.96
1997,8.15
1996,8.32
1995,8.48
1994,8.620000000000001
1993,8.75
1992,8.870000000000001
1991,8.98
1990,9.090000000000002
1989,9.209999999999999
1988,9.33
1987,9.47
1986,9.620000000000001
1985,9.780000000000001
1984,9.96
1983,10.15
1982,10.350000000000001
1981,10.57
1980,10.790000000000001
1979,11.030000000000001
1978,11.270000000000001
1977,11.520000000000001
1976,11.76
1975,12.020000000000001
1974,12.280000000000001
1973,12.540000000000001
1972,12.8
1971,13.06
1970,13.330000000000002
1969,13.590000000000002
1968,13.86
1967,14.11
1966,14.340000000000002
1965,14.56
1964,14.76
1963,14.950000000000001
1962,15.130000000000003
1961,15.3
1960,15.46
