label,Total Population
2021,8420641
2020,8233970
2019,8046828
2018,7861281
2017,7677565
2016,7493913
2015,7314773
2014,7140688
2013,6964859
2012,6788587
2011,6612385
2010,6436698
2009,6259842
2008,6090860
2007,5939163
2006,5809774
2005,5683334
2004,5533329
2003,5350907
2002,5140113
2001,4857096
2000,4584067
1999,4475145
1998,4449975
1997,4405028
1996,4347370
1995,4324149
1994,4314953
1993,4295689
1992,4301566
1991,4378169
1990,4325388
1989,4159163
1988,4056215
1987,3947865
1986,3842917
1985,3749419
1984,3666262
1983,3585773
1982,3509197
1981,3437108
1980,3367477
1979,3300032
1978,3235170
1977,3172195
1976,3112863
1975,3055916
1974,2998843
1973,2942333
1972,2886642
1971,2832392
1970,2778557
1969,2724901
1968,2672370
1967,2620396
1966,2569736
1965,2520576
1964,2472686
1963,2426750
1962,2382914
1961,2341065
1960,2301310
