label,Total Population
2021,32833031
2020,32180401
2019,31522290
2018,30870641
2017,30222262
2016,29554303
2015,28870939
2014,28196358
2013,27525597
2012,26858762
2011,26205941
2010,25574719
2009,24950762
2008,24326087
2007,23708320
2006,23098586
2005,22496951
2004,21906444
2003,21329514
2002,20758326
2001,20195577
2000,19665502
1999,19176791
1998,18714708
1997,18268040
1996,17844010
1995,17438874
1994,17040854
1993,16643633
1992,16241548
1991,15843471
1990,15446982
1989,15052447
1988,14671677
1987,14310790
1986,13971682
1985,13651443
1984,13342487
1983,12984131
1982,12584976
1981,12212960
1980,11865246
1979,11515675
1978,11163230
1977,10825496
1976,10509006
1975,10209848
1974,9918979
1973,9637197
1972,9365952
1971,9108878
1970,8861895
1969,8629855
1968,8418152
1967,8216086
1966,8019658
1965,7827726
1964,7640196
1963,7458243
1962,7281192
1961,7109029
1960,6911510
