label,Total Population
2021,27478249
2020,26811790
2019,26147551
2018,25493988
2017,24848016
2016,24213622
2015,23596741
2014,22995555
2013,22469268
2012,22010712
2011,21562914
2010,21120042
2009,20677762
2008,20244449
2007,19817700
2006,19394057
2005,18970215
2004,18544903
2003,18116451
2002,17683897
2001,17245468
2000,16799670
1999,16345894
1998,15858990
1997,15335453
1996,14810946
1995,14299727
1994,13802285
1993,13316448
1992,12838314
1991,12369269
1990,11910540
1989,11462943
1988,11043193
1987,10663498
1986,10309440
1985,9964075
1984,9621405
1983,9282050
1982,8948119
1981,8621621
1980,8303810
1979,7996368
1978,7700816
1977,7415900
1976,7142690
1975,6853981
1974,6548923
1973,6257373
1972,5979984
1971,5718867
1970,5477086
1969,5255149
1968,5050106
1967,4856689
1966,4671196
1965,4492890
1964,4321368
1963,4156453
1962,3998287
1961,3848336
1960,3708661
