label,Total Population
2021,8644829
2020,8442580
2019,8243094
2018,8046679
2017,7852795
2016,7661354
2015,7473229
2014,7288383
2013,7106229
2012,6926635
2011,6748672
2010,6571855
2009,6398624
2008,6222482
2007,6047537
2006,5874240
2005,5711597
2004,5565218
2003,5421001
2002,5281538
2001,5145426
2000,5008035
1999,4867941
1998,4728297
1997,4592550
1996,4445883
1995,4279566
1994,4092612
1993,4078392
1992,4106219
1991,3990215
1990,3875947
1989,3763657
1988,3653420
1987,3544927
1986,3439370
1985,3336508
1984,3232244
1983,3126635
1982,3023343
1981,2925865
1980,2838110
1979,2761240
1978,2693400
1977,2630626
1976,2569671
1975,2509713
1974,2450335
1973,2390909
1972,2330704
1971,2267211
1970,2197383
1969,2120486
1968,2038765
1967,1957164
1966,1882458
1965,1820396
1964,1772652
1963,1736697
1962,1706841
1961,1678788
1960,1651367
